observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
95015937,mangifera_indica,Mango,plant,resource,2021-09-16,2021,9,16,259,monsoon,12.93460764,77.60487035,"Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",Mangifera indica,research
95016409,mangifera_indica,Mango,plant,resource,2021-09-16,2021,9,16,259,monsoon,12.93483478,77.60466164,"Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",Mangifera indica,research
99084460,mangifera_indica,Mango,plant,resource,2021-10-23,2021,10,23,296,post_monsoon,13.0256249047,77.6420582458,"HBR Layout, Bengaluru, Karnataka 560043, India",Mangifera indica,research
107695487,mangifera_indica,Mango,plant,resource,2022-02-26,2022,2,26,57,winter,13.2391007,75.1067521,"Mala, Karnataka 574122, India",Mangifera indica,research
108010668,mangifera_indica,Mango,plant,resource,2022-02-24,2022,2,24,55,winter,12.7938287176,74.871793713,"Ullal, Karnataka, India",Mangifera indica,research
109135000,mangifera_indica,Mango,plant,resource,2022-03-20,2022,3,20,79,pre_monsoon,12.67428439,77.29805527,"M7FX+438, Lakkappanahalli, Karnataka 562159, India",Mangifera indica,research
111291182,mangifera_indica,Mango,plant,resource,2022-04-13,2022,4,13,103,pre_monsoon,14.3287381944,75.7805709722,"Davanagere, Karnataka, India",Mangifera indica,research
115260569,mangifera_indica,Mango,plant,resource,2022-05-04,2022,5,4,124,pre_monsoon,12.972879724,77.5888927815,"Bengaluru, Karnataka, India",Mangifera indica,research
115878807,mangifera_indica,Mango,plant,resource,2022-05-07,2022,5,7,127,pre_monsoon,12.99751045,75.43016663,"Karnataka 574228, India",Mangifera indica,research
116801551,mangifera_indica,Mango,plant,resource,2022-05-13,2022,5,13,133,pre_monsoon,12.9843032704,77.6798646525,"Kaggadasapura, Bengaluru, Karnataka, India",Mangifera indica,research
129654077,mangifera_indica,Mango,plant,resource,2022-07-17,2022,7,17,198,monsoon,13.0872193627,77.6103424653,"Jakkur lake, Agrahara, Bengaluru, Karnataka 560064, India",Mangifera indica,research
130744493,mangifera_indica,Mango,plant,resource,2022-08-14,2022,8,14,226,monsoon,12.9654796,77.7184638,"Brookefield, Bengaluru, Karnataka, India",Mangifera indica,research
131042799,mangifera_indica,Mango,plant,resource,2022-08-16,2022,8,16,228,monsoon,12.269372,76.611978,"Lingambudhi Lake, Lingambudhi Kere, Ramakrishnanagar, Mysuru, Karnataka 570023",Mangifera indica,research
131463606,mangifera_indica,Mango,plant,resource,2022-08-19,2022,8,19,231,monsoon,12.988719867,77.5252902919,"Karnataka, IN",Mangifera indica,research
133426508,mangifera_indica,Mango,plant,resource,2022-09-03,2022,9,3,246,monsoon,13.072404,77.6566973,"3MC4+X78, Visthar, Bengaluru, Karnataka 560077, India",Mangifera indica,research
136255899,mangifera_indica,Mango,plant,resource,2022-09-24,2022,9,24,267,monsoon,12.4108505249,76.4209213257,Mysuru,Mangifera indica,research
