observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
37026115,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-12-28,2019,12,28,362,winter,13.0292416667,77.5634777778,"Bangalore, Karnataka, India",Danaus chrysippus,research
37026119,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-12-28,2019,12,28,362,winter,13.0292,77.5634694444,"Bangalore, Karnataka, India",Danaus chrysippus,research
40352937,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-03-21,2020,3,21,81,pre_monsoon,12.8718526384,77.6143299043,"Akshayanagara West, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka, India",Danaus chrysippus,research
40738913,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-03-26,2020,3,26,86,pre_monsoon,12.8730688,77.6202659,"A4-171, DLF Westend Heights, DLF Newtown, Akshayanagar, Bengaluru, Karnataka 560068, India",Danaus chrysippus,research
41295097,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-02-16,2020,2,16,47,winter,13.4470662592,77.3321585376,"Madya Venkatapura, Karnataka 572129, India",Danaus chrysippus,research
44588473,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-04-26,2020,4,26,117,pre_monsoon,12.9901508706,77.6624017954,Prestige Greenwoods,Danaus chrysippus,research
45745102,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-12,2020,5,12,133,pre_monsoon,14.2837171185,74.4429660961,"Honnavar, Karnataka, India",Danaus chrysippus,research
46202890,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-15,2020,5,15,136,pre_monsoon,13.0575444769,77.6399883427,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",Danaus chrysippus,research
46382994,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-18,2020,5,18,139,pre_monsoon,13.0575444769,77.6399883427,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",Danaus chrysippus,research
46607939,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-20,2020,5,20,141,pre_monsoon,13.0575444769,77.6399883427,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",Danaus chrysippus,research
47388984,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-26,2020,5,26,147,pre_monsoon,12.3574149722,76.505193,"RMP Factory, Doddakadanahalli, Karnataka 571130, India",Danaus chrysippus,research
47522640,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-27,2020,5,27,148,pre_monsoon,13.0575444769,77.6399883427,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",Danaus chrysippus,research
47609604,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-28,2020,5,28,149,pre_monsoon,13.0575444769,77.6399883427,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",Danaus chrysippus,research
47817561,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-05,2020,5,5,126,pre_monsoon,12.9686164254,77.7608368546,"Immadihalli, Whitefield, Bengaluru, Karnataka 560066, India",Danaus chrysippus,research
47861275,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-29,2020,5,29,150,pre_monsoon,12.8840303175,74.9809760694,"Karnataka, IN",Danaus chrysippus,research
48105601,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-05-03,2019,5,3,123,pre_monsoon,13.0228530556,77.5631063889,"Devasandra Layout, Bengaluru, Karnataka, India",Danaus chrysippus,research
48456241,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-04,2020,6,4,156,monsoon,16.8851692,75.7095266,"Bhutnal Lake, Karnataka",Danaus chrysippus,research
48616647,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-06,2020,6,6,158,monsoon,12.8913197507,74.8791526639,"Karnataka, IN",Danaus chrysippus,research
48670611,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-11,2020,5,11,132,pre_monsoon,12.9150945315,77.4696979879,"Kengeri Satellite Town, Bengaluru, Karnataka, India",Danaus chrysippus,research
48745956,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-07,2020,6,7,159,monsoon,13.0820782716,77.5771418105,"Vignana Kendra, Bengaluru, Karnataka, India",Danaus chrysippus,research
48778810,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-07,2020,6,7,159,monsoon,16.8865018516,75.7099055128,"Bhutnal Lake, Bijapur, Karnataka, India",Danaus chrysippus,research
48985607,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-09,2020,6,9,161,monsoon,12.9457833226,74.9268641814,"Karnataka, IN",Danaus chrysippus,research
49030877,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-09,2020,6,9,161,monsoon,13.0578095229,77.6390541717,"Ferns Residency, Kothanur, Bengaluru, Karnataka 560077, India ",Danaus chrysippus,research
49094242,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-10,2020,6,10,162,monsoon,16.8865018516,75.7099055128,"Bhutnal Lake, Bijapur, Karnataka, India",Danaus chrysippus,research
49126740,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-10,2020,6,10,162,monsoon,16.8865018516,75.7099055128,"Bhutnal Lake, Bijapur, Karnataka, India",Danaus chrysippus,research
49338745,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-04,2020,6,4,156,monsoon,12.8945896427,77.5567559525,"Prasanti Nagar, ISRO Layout, Bengaluru, Karnataka, India",Danaus chrysippus,research
49415960,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-12,2020,6,12,164,monsoon,12.8865786429,74.8353267076,"Karnataka, IN",Danaus chrysippus,research
49416092,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-12,2020,6,12,164,monsoon,12.8014294866,74.9483566398,"Karnataka, IN",Danaus chrysippus,research
49447980,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-13,2020,6,13,165,monsoon,12.8846206,77.4648672,"Bangalore, IN-KA, IN",Danaus chrysippus,research
50058947,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-05-14,2020,5,14,135,pre_monsoon,13.0578095229,77.6390541717,"Ferns Residency, Kothanur, Bengaluru, Karnataka 560077, India ",Danaus chrysippus,research
50122802,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-19,2020,6,19,171,monsoon,16.8865018516,75.7099055128,"Bhutnal Lake, Bijapur, Karnataka, India",Danaus chrysippus,research
50634331,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-04,2020,6,4,156,monsoon,12.8887636014,74.8937786241,"Karnataka, IN",Danaus chrysippus,research
51209536,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-28,2020,6,28,180,monsoon,13.032544136,77.7232131958,"KV Nivas, Site #1, Kanagappa Layout, 2nd Cross, Medahalli, Bengaluru, Karnataka 560049, India",Danaus chrysippus,research
51328822,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-06-18,2020,6,18,170,monsoon,13.0653670877,77.6477002725,"115, Anjanappa Layout, Kothanur, Bengaluru, Karnataka 560077, India",Danaus chrysippus,research
51548103,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-07-01,2020,7,1,183,monsoon,16.8486524932,75.7215824258,"Bijapur, IN-KA, IN",Danaus chrysippus,research
52345951,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-07-08,2020,7,8,190,monsoon,16.86524,75.737386,"Hanchinal Lake, Vijayapura",Danaus chrysippus,research
52383384,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-07-08,2020,7,8,190,monsoon,13.121,77.5835555556,"Vasudevapura, Karnataka 560064, India",Danaus chrysippus,research
52478033,danaus_chrysippus,Plain Tiger,butterfly,consumer,2019-07-09,2019,7,9,190,monsoon,12.9736378002,77.5945626944,Bangalore,Danaus chrysippus,research
53018282,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-07-14,2020,7,14,196,monsoon,12.8655969612,77.5217172503,Nagegowdanapalya,Danaus chrysippus,research
53485073,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-07-18,2020,7,18,200,monsoon,16.8865018516,75.7099055128,"Bhutnal Lake, Bijapur, Karnataka, India",Danaus chrysippus,research
53569537,danaus_chrysippus,Plain Tiger,butterfly,consumer,2020-07-18,2020,7,18,200,monsoon,12.8503909491,74.8553501171,"Karnataka, IN",Danaus chrysippus,research
