year,month,temperature_mean,temperature_max,temperature_min,rainfall_mm,temperature_anomaly,season
2024,2,26.78103448275862,35.15724137931034,18.811034482758622,0.0,0.706551724137932,other
2024,3,30.656451612903226,38.031290322580645,23.142258064516128,0.54,0.9858064516129036,pre_monsoon
2024,4,31.928,39.04566666666666,24.843666666666664,28.77,0.9490000000000005,pre_monsoon
2024,5,30.14483870967742,36.31483870967742,24.66516129032258,111.27000000000001,-0.6533870967741932,pre_monsoon
2024,6,25.711666666666666,30.407333333333334,22.319000000000003,118.28999999999999,-1.0463333333333342,other
2024,7,25.083225806451615,29.22935483870968,22.328709677419358,91.03,0.12741935483870978,other
2024,8,25.469032258064516,29.621612903225806,22.416451612903224,165.76,0.919677419354839,other
2024,9,24.830333333333332,29.307666666666666,21.65666666666667,102.2,0.4386666666666663,other
2024,10,24.706451612903226,28.844516129032257,21.374193548387098,201.48,0.841451612903226,other
2024,11,22.812333333333335,28.311,18.505,5.98,0.06683333333333354,other
2024,12,23.715806451612906,29.783870967741933,19.335806451612903,20.53,1.9180645161290326,other
