id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
211647056,2024-04-28,swatiudayraj,research,https://www.inaturalist.org/observations/211647056,https://static.inaturalist.org/photos/374134142/medium.jpeg,"24, Prithvi Layout, Whitefield, Bengaluru, Karnataka 560066, India",12.9762323889,77.7466063889,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
212184077,2024-04-28,mbentoworld,research,https://www.inaturalist.org/observations/212184077,https://inaturalist-open-data.s3.amazonaws.com/photos/374981793/medium.jpeg,"FXRM+9RV, Dharwad, Karnataka 580001, India",15.4907611111,74.9844777778,Dharwad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
213453562,2024-04-27,aishwaryashetty,research,https://www.inaturalist.org/observations/213453562,https://inaturalist-open-data.s3.amazonaws.com/photos/377232419/medium.jpg,"1st Cross Road, Dharwad, KA, IN",15.4644847162,74.9880559067,Dharwad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
230246216,2024-07-19,abhix12,research,https://www.inaturalist.org/observations/230246216,https://static.inaturalist.org/photos/408805285/medium.jpeg,"Chamrajnagar, IN-KA, IN",11.6482171679,76.7069479823,Chamrajnagar,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
234467791,2024-08-08,mishaqq,research,https://www.inaturalist.org/observations/234467791,https://inaturalist-open-data.s3.amazonaws.com/photos/416832188/medium.jpeg,"No. 20, 12th Cross, RMV 2nd Stage, Hanumaiah Layout, Sanjayanagara, Bengaluru, Karnataka 560094, India",13.0330694444,77.5767805556,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
252807763,2024-11-24,anusha40847,research,https://www.inaturalist.org/observations/252807763,https://static.inaturalist.org/photos/452595581/medium.jpeg,"873, Patel Puttanna Industrial Estate, Deepanjali Nagar, Bengaluru, Karnataka 560026, India",12.9491066667,77.5334,Bangalore,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
253274595,2024-10-21,om__dhuttargaonkar,research,https://www.inaturalist.org/observations/253274595,https://inaturalist-open-data.s3.amazonaws.com/photos/453466288/medium.jpeg,Pilikula Biological Park,12.9272892362,74.8994230852,Dakshin Kannad,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
305996002,2024-04-10,honza15,research,https://www.inaturalist.org/observations/305996002,https://static.inaturalist.org/photos/551776339/medium.jpg,"Santhi Nagar, Hassan, Karnataka, India",13.02034722,76.09135556,Hassan,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
308705140,2024-04-09,honza15,research,https://www.inaturalist.org/observations/308705140,https://static.inaturalist.org/photos/556975331/medium.jpg,"Kadavinakote Hantha, Karnataka 573211, India",12.78173611,76.240775,Hassan,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
308965816,2024-04-13,honza15,research,https://www.inaturalist.org/observations/308965816,https://static.inaturalist.org/photos/557479778/medium.jpg,"Rajendra Nagar, Chitradurga, Karnataka 577501, India",14.21129722,76.41105556,Chitradurga,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
309947354,2024-04-06,honza15,research,https://www.inaturalist.org/observations/309947354,https://static.inaturalist.org/photos/559339670/medium.jpg,"Maddur, Karnataka, India",12.58212222,77.04283056,Mandya,Karnataka,Curry Leaf,Bergera koenigii,Curry Leaf,Plantae,1579705
