id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name
161176559,2023-05-12,srijan_pandhari_,research,https://www.inaturalist.org/observations/161176559,https://inaturalist-open-data.s3.amazonaws.com/photos/278576006/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
161742293,2023-05-14,srijan_pandhari_,research,https://www.inaturalist.org/observations/161742293,https://inaturalist-open-data.s3.amazonaws.com/photos/279596492/medium.jpeg,"Kukke, Karnataka 577422, India",13.7465895,75.3044347,Shimoga,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
161809256,2023-04-27,danielskatz,research,https://www.inaturalist.org/observations/161809256,https://inaturalist-open-data.s3.amazonaws.com/photos/279717773/medium.jpeg,"Sand Banks, Ammathi, Karnataka 571211, India",12.2567557,75.8475397,Kodagu,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162211592,2023-04-28,danielskatz,research,https://www.inaturalist.org/observations/162211592,https://inaturalist-open-data.s3.amazonaws.com/photos/280458129/medium.jpeg,"Mysore Division, Karnataka, India",12.0199127127,75.9871974469,Kodagu,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162595129,2023-05-20,srijan_pandhari_,research,https://www.inaturalist.org/observations/162595129,https://inaturalist-open-data.s3.amazonaws.com/photos/281156023/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162595174,2023-05-20,srijan_pandhari_,research,https://www.inaturalist.org/observations/162595174,https://inaturalist-open-data.s3.amazonaws.com/photos/281156136/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162607229,2023-05-19,cheddahcurt,research,https://www.inaturalist.org/observations/162607229,https://inaturalist-open-data.s3.amazonaws.com/photos/281179402/medium.jpeg,Saul Kere,12.9183124703,77.6800969988,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162628139,2023-05-20,karsten_s,research,https://www.inaturalist.org/observations/162628139,https://static.inaturalist.org/photos/281214009/medium.jpeg,"Bengaluru, Karnataka, India",13.1120785375,77.5764532314,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162792009,2023-04-29,danielskatz,research,https://www.inaturalist.org/observations/162792009,https://inaturalist-open-data.s3.amazonaws.com/photos/281510260/medium.jpeg,"Mydanahalli, Karnataka, India",12.3768210257,76.5656719491,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162820126,2023-05-20,cheddahcurt,research,https://www.inaturalist.org/observations/162820126,https://inaturalist-open-data.s3.amazonaws.com/photos/281564638/medium.jpeg,Saul Kere,12.9183124703,77.6800969988,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
162845611,2023-05-21,deemopahan,research,https://www.inaturalist.org/observations/162845611,https://inaturalist-open-data.s3.amazonaws.com/photos/281607956/medium.jpeg,"Jakkur Lake, Agrahara, Bengaluru, Karnataka 560064",13.0873671,77.609935,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
163079682,2023-05-22,srijan_pandhari_,research,https://www.inaturalist.org/observations/163079682,https://inaturalist-open-data.s3.amazonaws.com/photos/282029803/medium.jpeg,"RHQQ+4P, Basavanapura, Bengaluru, Karnataka 560083, India",12.8378402,77.589327,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
163320738,2023-05-22,chayantgonsalves,research,https://www.inaturalist.org/observations/163320738,https://inaturalist-open-data.s3.amazonaws.com/photos/282465657/medium.jpeg,"Bangalore, IN-KA, IN",12.8835601638,77.4641057476,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
163525214,2023-04-30,danielskatz,research,https://www.inaturalist.org/observations/163525214,https://inaturalist-open-data.s3.amazonaws.com/photos/282836689/medium.jpeg,"Ranganathittu Bird Sanctuary, Ranganathittu Road, Srirangapatna, Karnataka, India",12.424265282,76.6559375162,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
165409235,2023-06-02,naturaj,research,https://www.inaturalist.org/observations/165409235,https://inaturalist-open-data.s3.amazonaws.com/photos/286321006/medium.jpg,"Kadugodi Main Road, Bengaluru, KA, IN",12.9977704096,77.7609401597,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
165883234,2023-05-16,kunikimu,research,https://www.inaturalist.org/observations/165883234,https://inaturalist-open-data.s3.amazonaws.com/photos/287201958/medium.jpg,"Thubarahalli Lake, Brookefield, Bengaluru, Karnataka 560066",12.958266,77.7255357,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
166041769,2023-05-16,karthikeyan-r,research,https://www.inaturalist.org/observations/166041769,https://inaturalist-open-data.s3.amazonaws.com/photos/287494883/medium.jpeg,"Guruvegowdanhundi, Karnataka, India",11.6482375254,76.6578302452,Chamrajnagar,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
166257898,2023-05-28,mvbhaktha,research,https://www.inaturalist.org/observations/166257898,https://static.inaturalist.org/photos/287888425/medium.jpg,"Talakaveri Wildlife Sanctuary, Dakshina Kannada, KA, IN",12.749322,75.456947,Dakshin Kannad,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
168019859,2023-06-18,srushtibokil,research,https://www.inaturalist.org/observations/168019859,https://inaturalist-open-data.s3.amazonaws.com/photos/291135709/medium.jpeg,"Bangalore, IN-KA, IN",12.957882,77.706768,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
168270158,2023-05-18,kunikimu,research,https://www.inaturalist.org/observations/168270158,https://inaturalist-open-data.s3.amazonaws.com/photos/291597136/medium.jpg,"Thubarahalli Lake, Brookefield, Bengaluru, Karnataka 560066",12.958266,77.7255357,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
169022876,2023-06-23,adityaramakrishnan13,research,https://www.inaturalist.org/observations/169022876,https://static.inaturalist.org/photos/292996576/medium.jpeg,"Chikmagalur, IN-KA, IN",13.4162698722,75.2835110465,Chikmagalur,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
169160265,2023-06-24,suma12,research,https://www.inaturalist.org/observations/169160265,https://static.inaturalist.org/photos/293248963/medium.jpeg,Bukkasagara,12.7731681012,77.6106509194,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
169160776,2023-06-24,suma12,research,https://www.inaturalist.org/observations/169160776,https://static.inaturalist.org/photos/293249732/medium.jpeg,Bukkasagara,12.7731681012,77.6106509194,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
170060041,2023-06-29,premgarg,research,https://www.inaturalist.org/observations/170060041,https://static.inaturalist.org/photos/294904721/medium.jpeg,"Rajapura, Karnataka 562106, India",12.775025,77.6758816667,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
170409351,2023-07-01,premgarg,research,https://www.inaturalist.org/observations/170409351,https://static.inaturalist.org/photos/295560949/medium.jpeg,"QJF9+822, Nandanavana Layout, Bukkasagara, Karnataka 560105, India",12.7734816667,77.61798,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
170441471,2023-07-01,srijan_pandhari_,research,https://www.inaturalist.org/observations/170441471,https://inaturalist-open-data.s3.amazonaws.com/photos/295620260/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
