id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name
30976698,2019-08-11,vasudeesha,research,https://www.inaturalist.org/observations/30976698,https://static.inaturalist.org/photos/48435009/medium.jpg,"Bengaluru, Sahyadri Layout, Panduranga Nagar, Bengaluru, Karnataka 560076, India",12.8949004,77.5936259,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
30980022,2019-08-04,sahanam,research,https://www.inaturalist.org/observations/30980022,https://inaturalist-open-data.s3.amazonaws.com/photos/48440026/medium.jpeg,"#6, Block 25, Block Number 27, Sriramapura 2nd Stage, Sriramapura, Madhuvana Layout, Mysuru, Karnataka 570023, India",12.2681341171,76.6186065674,Mysore,Karnataka,Plain Tiger,Danaus chrysippus chrysippus,Plain Tiger,Insecta,207981,Nymphalidae,Danaus
31900282,2019-07-05,rajesh_balakrishnan,research,https://www.inaturalist.org/observations/31900282,https://inaturalist-open-data.s3.amazonaws.com/photos/49977756/medium.jpeg,"Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",12.8480453491,77.6647415161,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
33516983,2019-09-28,akilan,research,https://www.inaturalist.org/observations/33516983,https://static.inaturalist.org/photos/52647185/medium.jpg,"2nd Cross Road, Bengaluru, Karnataka, IN",12.97327833,77.691405,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
33591884,2019-09-29,firos_ak,research,https://www.inaturalist.org/observations/33591884,https://inaturalist-open-data.s3.amazonaws.com/photos/52771297/medium.jpeg,"Panduranga Nagar, Bengaluru, Karnataka 560076, India",12.8948398062,77.5923425618,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
33794690,2019-10-03,subhadrad,research,https://www.inaturalist.org/observations/33794690,https://inaturalist-open-data.s3.amazonaws.com/photos/53115964/medium.jpeg,"Ferns Residency, Kothanur, Kothnur Narayanapura, Karnataka 560077, India",13.0575444769,77.6399883427,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
34393829,2019-10-15,mittal_g,research,https://www.inaturalist.org/observations/34393829,https://inaturalist-open-data.s3.amazonaws.com/photos/54125533/medium.jpeg,"Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka, India",13.0677471161,77.5791854858,Bangalore,Karnataka,Plain Tiger,Danaus chrysippus chrysippus,Plain Tiger,Insecta,207981,Nymphalidae,Danaus
35035842,2019-10-29,akilan,research,https://www.inaturalist.org/observations/35035842,https://static.inaturalist.org/photos/55219751/medium.jpg,"Doddanekundi, Bengaluru, Karnataka, IN",12.97607833,77.69103333,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
35233756,2019-11-03,mittal_g,research,https://www.inaturalist.org/observations/35233756,https://inaturalist-open-data.s3.amazonaws.com/photos/55536890/medium.jpeg,"Hesaraghatta Grass Farm, Karnataka 560089, India",13.1501560211,77.4931030273,Bangalore,Karnataka,Plain Tiger,Danaus chrysippus chrysippus,Plain Tiger,Insecta,207981,Nymphalidae,Danaus
35457202,2019-10-07,avigat_pandey,research,https://www.inaturalist.org/observations/35457202,https://inaturalist-open-data.s3.amazonaws.com/photos/55909896/medium.jpeg,"Bengaluru, Karnataka 560060, India",12.8843815,77.4637208,Bangalore,Karnataka,Plain Tiger Butterfly,Danaus chrysippus,Plain Tiger Butterfly,Insecta,67835,Nymphalidae,Danaus
