id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
68147002,2021-01-16,poojarajdev,research,https://www.inaturalist.org/observations/68147002,https://inaturalist-open-data.s3.amazonaws.com/photos/110272845/medium.jpeg,Sahakar Nagar,13.0631602635,77.5900364667,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
68308421,2021-01-19,poojarajdev,research,https://www.inaturalist.org/observations/68308421,https://inaturalist-open-data.s3.amazonaws.com/photos/110572922/medium.jpeg,"Bangalore, IN-KA, IN",13.0405944444,77.57,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
68472962,2021-01-23,poojarajdev,research,https://www.inaturalist.org/observations/68472962,https://inaturalist-open-data.s3.amazonaws.com/photos/110880353/medium.jpeg,"Bangalore, IN-KA, IN",13.0442233333,77.56901,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
69298511,2021-02-08,drprashanthrreddy,research,https://www.inaturalist.org/observations/69298511,https://static.inaturalist.org/photos/112425534/medium.jpeg,Bheemeshwari Adventure and Nature Camp- Junglelodges,12.3119296903,77.2769197449,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
69844752,2021-02-20,ajay_mouli,research,https://www.inaturalist.org/observations/69844752,https://static.inaturalist.org/photos/113429439/medium.jpg,"Prestige Wellington Park Road, Bengaluru, KA, IN",13.0553692523,77.5458226904,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
70810530,2021-03-08,geetikabasapa,research,https://www.inaturalist.org/observations/70810530,https://static.inaturalist.org/photos/115184316/medium.jpeg,Madapur,12.5113754006,75.8108001575,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
70862986,2021-02-13,rujutavinod,research,https://www.inaturalist.org/observations/70862986,https://inaturalist-open-data.s3.amazonaws.com/photos/115277961/medium.jpeg,"Kodthalli, Karnataka 581187, India",14.9980998,74.3587473,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
73458019,2021-04-10,hnshankar,research,https://www.inaturalist.org/observations/73458019,https://inaturalist-open-data.s3.amazonaws.com/photos/119929439/medium.jpeg,"Sobha Sunbeam 2, Nagegowdanapalya, Bengaluru, Karnataka 560109, India",12.8664050996,77.5191155076,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
88681352,2021-07-26,arvintrix,research,https://www.inaturalist.org/observations/88681352,https://inaturalist-open-data.s3.amazonaws.com/photos/146350173/medium.jpg,"B Hosahalli, Bengaluru, KA, IN",12.850109674,77.7815476992,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
88934134,2021-07-28,aadyathammaiah,research,https://www.inaturalist.org/observations/88934134,https://inaturalist-open-data.s3.amazonaws.com/photos/146802567/medium.jpeg,"Koel's Pizzeria Cross, Road, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077, India",13.0604558,77.657084,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
88934146,2021-07-28,aadyathammaiah,research,https://www.inaturalist.org/observations/88934146,https://inaturalist-open-data.s3.amazonaws.com/photos/146802715/medium.jpeg,"Koel's Pizzeria Cross, Road, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077, India",13.0604558,77.657084,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
92348490,2021-08-24,shauryarahuln,research,https://www.inaturalist.org/observations/92348490,https://static.inaturalist.org/photos/152967113/medium.jpeg,"Balaji Layout, H A Farm Post, Bhuvaneswari Nagar, Dasarahalli, Bengaluru, Karnataka 560092, India",13.0639016437,77.6051309332,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
95015937,2021-09-16,rohankrsn,research,https://www.inaturalist.org/observations/95015937,https://inaturalist-open-data.s3.amazonaws.com/photos/157688466/medium.jpeg,"Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",12.93460764,77.60487035,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
95016409,2021-09-16,basavaraj_r_shiragumpi,research,https://www.inaturalist.org/observations/95016409,https://static.inaturalist.org/photos/157689455/medium.jpeg,"Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",12.93483478,77.60466164,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
99084460,2021-10-23,dharani_cl,research,https://www.inaturalist.org/observations/99084460,https://static.inaturalist.org/photos/165105280/medium.jpeg,"HBR Layout, Bengaluru, Karnataka 560043, India",13.0256249047,77.6420582458,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
107695487,2022-02-26,haneesh,research,https://www.inaturalist.org/observations/107695487,https://inaturalist-open-data.s3.amazonaws.com/photos/181182880/medium.jpeg,"Mala, Karnataka 574122, India",13.2391007,75.1067521,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
108010668,2022-02-24,prajwal_ullal,research,https://www.inaturalist.org/observations/108010668,https://inaturalist-open-data.s3.amazonaws.com/photos/181769459/medium.jpg,"Ullal, Karnataka, India",12.7938287176,74.871793713,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
109135000,2022-03-20,pramukh,research,https://www.inaturalist.org/observations/109135000,https://static.inaturalist.org/photos/183882056/medium.jpeg,"M7FX+438, Lakkappanahalli, Karnataka 562159, India",12.67428439,77.29805527,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
111291182,2022-04-13,nagabhushanjyothi,research,https://www.inaturalist.org/observations/111291182,https://inaturalist-open-data.s3.amazonaws.com/photos/187859273/medium.jpg,"Davanagere, Karnataka, India",14.3287381944,75.7805709722,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
115260569,2022-05-04,srijya,research,https://www.inaturalist.org/observations/115260569,https://inaturalist-open-data.s3.amazonaws.com/photos/194558541/medium.jpeg,"Bengaluru, Karnataka, India",12.972879724,77.5888927815,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
115878807,2022-05-07,sahan_kj,research,https://www.inaturalist.org/observations/115878807,https://static.inaturalist.org/photos/195575650/medium.jpeg,"Karnataka 574228, India",12.99751045,75.43016663,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
116801551,2022-05-13,arifa_firoz,research,https://www.inaturalist.org/observations/116801551,https://inaturalist-open-data.s3.amazonaws.com/photos/197197107/medium.jpeg,"Kaggadasapura, Bengaluru, Karnataka, India",12.9843032704,77.6798646525,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
129654077,2022-07-17,manasvi_d,research,https://www.inaturalist.org/observations/129654077,https://inaturalist-open-data.s3.amazonaws.com/photos/220368946/medium.jpeg,"Jakkur lake, Agrahara, Bengaluru, Karnataka 560064, India",13.0872193627,77.6103424653,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
130744493,2022-08-14,kunikimu,research,https://www.inaturalist.org/observations/130744493,https://inaturalist-open-data.s3.amazonaws.com/photos/222394213/medium.jpg,"Brookefield, Bengaluru, Karnataka, India",12.9654796,77.7184638,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
131042799,2022-08-16,shivaprakash,research,https://www.inaturalist.org/observations/131042799,https://inaturalist-open-data.s3.amazonaws.com/photos/222945411/medium.jpg,"Lingambudhi Lake, Lingambudhi Kere, Ramakrishnanagar, Mysuru, Karnataka 570023",12.269372,76.611978,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
131463606,2022-08-19,ginko14,research,https://www.inaturalist.org/observations/131463606,https://inaturalist-open-data.s3.amazonaws.com/photos/223726442/medium.jpeg,"Karnataka, IN",12.988719867,77.5252902919,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
133426508,2022-09-03,poojarajdev,research,https://www.inaturalist.org/observations/133426508,https://inaturalist-open-data.s3.amazonaws.com/photos/227270520/medium.jpeg,"3MC4+X78, Visthar, Bengaluru, Karnataka 560077, India",13.072404,77.6566973,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
136255899,2022-09-24,silvester_naveen,research,https://www.inaturalist.org/observations/136255899,https://inaturalist-open-data.s3.amazonaws.com/photos/232520465/medium.jpeg,Mysuru,12.4108505249,76.4209213257,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
138085920,2022-10-09,maruti_gurav,research,https://www.inaturalist.org/observations/138085920,https://static.inaturalist.org/photos/235956528/medium.jpeg,"Parwad, 591345, India",15.68936215,74.19718931,Karnataka,India,Indian mango,Mangifera indica,Indian mango,Plantae,48872
145114768,2022-12-25,shivaprakash,research,https://www.inaturalist.org/observations/145114768,https://inaturalist-open-data.s3.amazonaws.com/photos/249215439/medium.jpeg,"Muganahundi, Mysore Dt",12.2626994217,76.5676205815,Karnataka,India,芒果,Mangifera indica,Indian mango,Plantae,48872
