id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
95238154,2021-09-18,puja_a,research,https://www.inaturalist.org/observations/95238154,https://static.inaturalist.org/photos/158086194/medium.jpeg,"Bengaluru, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",12.9330233333,77.60609,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
99775434,2021-10-30,ajay_mouli,research,https://www.inaturalist.org/observations/99775434,https://static.inaturalist.org/photos/166402324/medium.jpg,"Prestige Wellington Park Road, Bengaluru, KA, IN",13.0546820185,77.5419940009,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
122117180,2022-06-16,prajwaldeep,research,https://www.inaturalist.org/observations/122117180,https://static.inaturalist.org/photos/206724913/medium.jpeg,"Bengaluru, Karnataka, India",12.9715987,77.5945627,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
123805257,2022-04-21,prajwaldeep,research,https://www.inaturalist.org/observations/123805257,https://static.inaturalist.org/photos/209778527/medium.jpeg,"Bengaluru, Karnataka, India",12.9715987,77.5945627,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
126798080,2022-07-18,arvintrix,research,https://www.inaturalist.org/observations/126798080,https://inaturalist-open-data.s3.amazonaws.com/photos/215184645/medium.jpg,"Bikkanahalli Main Road, Bengaluru, KA, IN",12.850055,77.77877,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
130604624,2022-08-12,subbu107,research,https://www.inaturalist.org/observations/130604624,https://inaturalist-open-data.s3.amazonaws.com/photos/222139487/medium.jpeg,Sobha Forest View,12.8791628788,77.530563511,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
133435611,2022-08-14,covemom,research,https://www.inaturalist.org/observations/133435611,https://inaturalist-open-data.s3.amazonaws.com/photos/227288310/medium.jpeg,"Narayanaghatta Village, Chandapura Dommasandra Road Circle, near Muthanallur, Chintalamadivala Village, Bengaluru, Karnataka 560099, India",12.8424027,77.726986,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
137942817,2022-10-08,premgarg,research,https://www.inaturalist.org/observations/137942817,https://static.inaturalist.org/photos/235681454/medium.jpeg,"QH2X+RHG Jaguars falls, Karnataka 562112, India",12.7519044137,77.5996250287,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
139652597,2022-10-22,malaika_mmc,research,https://www.inaturalist.org/observations/139652597,https://inaturalist-open-data.s3.amazonaws.com/photos/238898581/medium.jpeg,"#17, East wing, Jayanagar Shopping Complex, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",12.9289321667,77.5848006944,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
142128997,2022-11-13,nephercheres,research,https://www.inaturalist.org/observations/142128997,https://static.inaturalist.org/photos/243625856/medium.jpg,"4th Cross Road, Bengaluru, KA, IN",12.988474588,77.6727396885,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
147240706,2023-01-24,vishnu_m,research,https://www.inaturalist.org/observations/147240706,https://inaturalist-open-data.s3.amazonaws.com/photos/253327527/medium.jpeg,"RQWG+8W, Buragunte, Karnataka, India",12.8448755306,77.7772536501,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
148965537,2023-02-10,abhiapc,research,https://www.inaturalist.org/observations/148965537,https://static.inaturalist.org/photos/256620974/medium.jpeg,"Mysore, 7JC4+59R, Karle Habitat, Dattagalli 3rd Stage, Mysuru, Karnataka 570022, India",12.2704783,76.6058961,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
150196278,2023-03-04,vyakhya_vashishth,research,https://www.inaturalist.org/observations/150196278,https://static.inaturalist.org/photos/258938141/medium.jpeg,"258, Muthurayya Swamy Layout, Garvebhavi Palya, Bengaluru, Karnataka 560076, India",12.8719821,77.6012968,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
151808665,2023-03-21,ivijayanand,research,https://www.inaturalist.org/observations/151808665,https://inaturalist-open-data.s3.amazonaws.com/photos/261992731/medium.jpg,"Hindalga Village, Belagavi, KA, IN",15.873772226,74.4671610669,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
152221203,2023-03-12,stalinsm,research,https://www.inaturalist.org/observations/152221203,https://inaturalist-open-data.s3.amazonaws.com/photos/262751920/medium.jpg,"Bengaluru, Karnataka, India",12.7974083333,77.5649472222,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
152741013,2023-03-24,haneesh,research,https://www.inaturalist.org/observations/152741013,https://inaturalist-open-data.s3.amazonaws.com/photos/263711591/medium.jpeg,"Mudar, Karnataka, India",13.2184174032,75.0986183986,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
157010784,2023-04-28,tarachand,research,https://www.inaturalist.org/observations/157010784,https://inaturalist-open-data.s3.amazonaws.com/photos/271543125/medium.jpg,"Mahatma Gandhi Road, Bengaluru, KA, IN",12.9767071411,77.6009938262,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
157012823,2023-04-28,tarachand,research,https://www.inaturalist.org/observations/157012823,https://inaturalist-open-data.s3.amazonaws.com/photos/271546492/medium.jpg,"Gandhi Nagar, Bengaluru, KA, IN",12.9782288242,77.5959124324,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
157208073,2023-04-28,ulhasanand,research,https://www.inaturalist.org/observations/157208073,https://static.inaturalist.org/photos/271846435/medium.jpeg,"WHR9+VWC Dr. D.V.G's Memorial, Basavanagudi, Bengaluru, Karnataka 560004, India",12.9420439722,77.5698809722,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
157610572,2023-04-29,rashmiswamy,research,https://www.inaturalist.org/observations/157610572,https://inaturalist-open-data.s3.amazonaws.com/photos/272438749/medium.jpeg,"Vasanth Nagar, Bengaluru, Karnataka, India",12.9847166667,77.5914083333,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
158474632,2023-04-29,jananeemohan,research,https://www.inaturalist.org/observations/158474632,https://static.inaturalist.org/photos/273881672/medium.jpeg,"4GGW+7X7, Ramagondanahalli, Karnataka 560064, India",13.126815,77.547739,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
166016557,2023-06-07,abhinandan3,research,https://www.inaturalist.org/observations/166016557,https://static.inaturalist.org/photos/287448703/medium.jpeg,Bannerghatta National Park,12.7789526213,77.5726534054,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
174677948,2023-07-24,emaw3319,research,https://www.inaturalist.org/observations/174677948,https://inaturalist-open-data.s3.amazonaws.com/photos/303491473/medium.jpg,"Bangalore Rural, IN-KA, IN",13.0512400337,77.7573094916,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
176575898,2023-07-24,emaw3319,research,https://www.inaturalist.org/observations/176575898,https://inaturalist-open-data.s3.amazonaws.com/photos/307005340/medium.jpg,"Brigade Road, Bengaluru, KA, IN",12.9704668742,77.6074265094,Karnataka,India,Indian banyan,Ficus benghalensis,Indian banyan,Plantae,54880
